Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,pedigree,scale without pedigree,Exchange's common name,Exchange location,Exchange category,comment
Modified dataset,SC_600_CO,Sorting center density of 600 - CO,cubic meter,process,ecoinvent 3_5 cut_off,bb92228e929cedaa8a50a5d816af93d0,0.00000006,unit,technosphere,0,1,,,,"sorting facility, for construction waste",RoW,,EcoSpold01Location=CH
Modified dataset,SC_600_CO,Sorting center density of 600 - CO,cubic meter,process,ecoinvent 3_5 cut_off,922b4db1bbc68f3374d9088f4eb0d281,2.467,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Modified dataset,SC_600_CO,Sorting center density of 600 - CO,cubic meter,process,ecoinvent 3_5 cut_off,4f0dd0e909393604f7459d80155ddf31,2.22,kilowatt hour,technosphere,0,1,,,,"electricity, medium voltage",CA-QC,,
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,8657a93ea551853c9b1708ee70767413,0.108,cubic meter,technosphere,0,1,,,,"sawlog and veneer log, softwood, measured as solid wood under bark",CA-QC,,
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,0c6e856637aceded190f01f05794fb4a,251.235,kilogram,technosphere,0,1,,"{'reliability': 1, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}",,"shavings, softwood, measured as dry mass",CA-QC,,shavings recollected from the planing process where they are generated as loose shavings.
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,054576d2667a1adbc7e1a11a366dd29f,251.235,kilogram,technosphere,0,1,,"{'reliability': 1, 'completeness': 1, 'temporal correlation': 1, 'geographical correlation': 1, 'further technological correlation': 1}",,"saw dust, wet, measured as dry mass",CA-QC,,sawdust collected for further used
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,8d2d980c25e21b1330da88f6fa62778b,55.83,kilogram,technosphere,0,1,,,,"wood chips, wet, measured as dry mass",CA-QC,,
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,e91c7f4c2fd5babd8067ec1fa1837db4,3.7,kilogram,technosphere,2,0.542324291,0.458911756,"{'reliability': 5, 'completeness': 5, 'temporal correlation': 5, 'geographical correlation': 5, 'further technological correlation': 5}",0.024494897,diesel,RER,,"Estimate. The value is extrapolated from the particle board production, for indoor use, from virgin wood, BR (Brazil)."
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,Modified dataset,PB_product_Qc_CO,1,cubic meter,production,0,1,,,,"particle board, for indoor use",RoW,,
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,535aafcac8197230801752ab62da82f4,3.33E-08,unit,technosphere,2,-17.21770844,0.748331477,"{'reliability': 5, 'completeness': 5, 'temporal correlation': 5, 'geographical correlation': 5, 'further technological correlation': 5}",0.591607978,"wooden board factory, organic bonded boards",GLO,,"Estimate. The value is extrapolated from the particle board production, for indoor use, from virgin wood, BR (Brazil)."
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,563b19d4aadff3fc62f8f58c47747b81,17,kilogram,technosphere,2,1.699278616,0.556776436,"{'reliability': 5, 'completeness': 5, 'temporal correlation': 5, 'geographical correlation': 5, 'further technological correlation': 5}",0.316227766,paraffin,GLO,,EcoSpold01Location=RER
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,8d4093ee7c75778d1bbf4d716ace2c9a,-0.006,cubic meter,technosphere,2,-5.11599581,0.460434577,"{'reliability': 5, 'completeness': 5, 'temporal correlation': 5, 'geographical correlation': 5, 'further technological correlation': 5}",0.04472136,wastewater from particle board production,GLO,,EcoSpold01Location=CH
Modified dataset,PB_product_Qc_CO,Particle board production - Quebec  - CO,cubic meter,process,ecoinvent 3_5 cut_off,1a296d9997e0213ab06dda045622ce13,70.4,kilogram,technosphere,2,4.272490748,0.556776436,"{'reliability': 5, 'completeness': 5, 'temporal correlation': 5, 'geographical correlation': 5, 'further technological correlation': 5}",0.316227766,urea formaldehyde resin,RER,,
