Activity database,Activity code,Activity name,Activity unit,Activity type,Exchange database,Exchange input,Exchange amount,Exchange unit,Exchange type,Exchange uncertainty type,Exchange loc,Exchange scale,pedigree,scale without pedigree,Exchange's common name,Exchange location,Exchange category,comment
Modified consequential datasets,SC_600_ Conseq,Sorting center 600 - conseq,cubic meter,process,ecoinvent 3_5 consequential,8ed5d31ef717480182e67c475fe5bff4,2.22,kilowatt hour,technosphere,0,1,,,,"electricity, high voltage",CA-QC,,
Modified consequential datasets,SC_600_ Conseq,Sorting center 600 - conseq,cubic meter,process,ecoinvent 3_5 consequential,ce3380c0fd4a8491d99a19795a1eb171,0.00000006,unit,technosphere,0,1,,,,"sorting facility, for construction waste",RoW,,EcoSpold01Location=CH
Modified consequential datasets,SC_600_ Conseq,Sorting center 600 - conseq,cubic meter,process,Modified consequential datasets,Modified building machine,2.467,megajoule,technosphere,0,1,,,,"diesel, burned in building machine",GLO,,EcoSpold01Location=GLO
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,483b73481a45e6047d6bf688206e076c,-0.000168,kilogram,technosphere,2,-8.691546579,0.403360881,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 5, 'geographical correlation': 3, 'further technological correlation': 1}",0.346410162,fly ash and scrubber sludge,RoW,,Environmental report and literature
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,Modified consequential datasets,Modified diesel import,1,kilogram,production,0,1,,,,"diesel, low-sulfur",RoW,,
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,54319d5ddf68fb31886a57065d4e8bdb,-0.000075,cubic meter,technosphere,2,-9.498022444,0.257099203,"{'reliability': 4, 'completeness': 5, 'temporal correlation': 5, 'geographical correlation': 3, 'further technological correlation': 1}",0.1,rainwater mineral oil storage,RoW,,Rainwater with pollutants
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,260b5c3bd5675be847fb55aaacb5eda3,2.48E-10,unit,technosphere,2,-22.11759237,0.558659109,"{'reliability': 3, 'completeness': 5, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0.547722558,"infrastructure, for regional distribution of oil product",GLO,,Calculation
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,06b93e1b0ed43be3a3b24b06a688acc6,0.00058374,megajoule,technosphere,2,-7.44605488,0.068556546,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0,"heat, central or small-scale, other than natural gas",RoW,,Environmental report
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,8cedae2699fd4ee324f589b9790dac1a,0.30455,ton kilometer,technosphere,2,-1.188920002,0.353128872,"{'reliability': 2, 'completeness': 4, 'temporal correlation': 3, 'geographical correlation': 3, 'further technological correlation': 1}",0.346410162,"transport, pipeline, onshore, petroleum",RoW,,Environmental report and estimation for imports
Modified consequential datasets,Modified diesel import,MD_market for diesel,kilogram,process,ecoinvent 3_5 consequential,07be170c7592efffa908074f76b4b386,1,kilogram,technosphere,0,1,,,,"diesel, low-sulfur",RoW,,
